,Team Picked,Allocation Percentage,League,Payouts (per Dollar),Date,American Odds
210,Celtics,5.646,NBA,1.32,17/1/2021,-312
211,Mavericks,7.789,NBA,1.34,17/1/2021,-294
212,Thunder,2.054,NBA,2.38,17/1/2021,138
213,Nuggets,2.509,NBA,1.89,17/1/2021,-112
214,Clippers,4.303,NBA,1.39,17/1/2021,-256
215,Sheffield Utd,0.036,EPL,5.7,17/1/2021,470
216,Man. United,0.115,EPL,3.7,17/1/2021,270
217,Man. City,9.333,EPL,1.15,17/1/2021,-666
218,Draw Strasbourg v St Étienne,0.091,FL1,3.8,17/1/2021,280
219,St Étienne,0.32,FL1,5.4,17/1/2021,440
220,Nantes,0.32,FL1,2.7,17/1/2021,170
221,Lille,3.01,FL1,1.59,17/1/2021,-169
222,Draw Lyon v Metz,0.036,FL1,5.8,17/1/2021,480
223,Draw Sassuolo v Parma,0.07,ISA,4.1,17/1/2021,309
224,Parma,0.091,ISA,4.9,17/1/2021,390
225,Crotone,0.411,ISA,2.75,17/1/2021,175
226,Juventus,0.32,ISA,2.9,17/1/2021,190
227,RKC,0.364,NPL,2.8,17/1/2021,179
228,Groningen,0.627,NPL,2.25,17/1/2021,125
229,VVV-Venlo,0.514,NPL,3.1,17/1/2021,210
230,Santa Clara,0.627,PPL,2.25,17/1/2021,125
231,Gil Vicente,0.752,PPL,2.25,17/1/2021,125
232,Denizlispor,0.461,TSL,2.85,17/1/2021,185
233,Beşiktaş,0.819,TSL,2.4,17/1/2021,140
234,Browns          ,0.036,NFL,4.8,17/1/2021,380
235,Saints          ,3.996,NFL,1.64,17/1/2021,-156
